Date,Site,Canopy,Plot,SurveyPeriod,Species,N_end,Notes
2019-07-16,RP-15,open,a,1,sun,4,highest elevation
2019-07-16,RP-15,open,b,1,sun,2,mountain hemlock seeds
2019-07-16,RP-15,open,c,1,sun,0,
2019-07-16,RP-15,open,a,2,sun,2,
2019-07-16,RP-15,open,b,2,sun,5,
2019-07-16,RP-15,open,c,2,sun,0,
2019-07-16,RP-15,open,a,1,oats,8,
2019-07-16,RP-15,open,b,1,oats,8,
2019-07-16,RP-15,open,c,1,oats,1,
2019-07-16,RP-15,open,a,2,oats,8,
2019-07-16,RP-15,open,b,2,oats,8,
2019-07-16,RP-15,open,c,2,oats,0,
2019-07-16,RP-15,closed,a,1,sun,5,
2019-07-16,RP-15,closed,b,1,sun,0,
2019-07-16,RP-15,closed,c,1,sun,5,
2019-07-16,RP-15,closed,a,2,sun,5,
2019-07-16,RP-15,closed,b,2,sun,4,
2019-07-16,RP-15,closed,c,2,sun,2,
2019-07-16,RP-15,closed,a,1,oats,8,
2019-07-16,RP-15,closed,b,1,oats,2,
2019-07-16,RP-15,closed,c,1,oats,8,
2019-07-16,RP-15,closed,a,2,oats,8,
2019-07-16,RP-15,closed,b,2,oats,8,
2019-07-16,RP-15,closed,c,2,oats,6,
2019-07-08,MB-1,open,a,1,sun,0,lowest elevation
2019-07-08,MB-1,open,b,1,sun,0,lots of foliage. Inverts noticable.
2019-07-08,MB-1,open,c,1,sun,5,
2019-07-08,MB-1,open,a,2,sun,0,
2019-07-08,MB-1,open,b,2,sun,2,
2019-07-08,MB-1,open,c,2,sun,0,
2019-07-08,MB-1,open,a,1,oats,0,
2019-07-08,MB-1,open,b,1,oats,0,
2019-07-08,MB-1,open,c,1,oats,5,
2019-07-08,MB-1,open,a,2,oats,0,
2019-07-08,MB-1,open,b,2,oats,2,
2019-07-08,MB-1,open,c,2,oats,0,
2019-07-08,MB-1,closed,a,1,sun,0,
2019-07-08,MB-1,closed,b,1,sun,0,
2019-07-08,MB-1,closed,c,1,sun,1,
2019-07-08,MB-1,closed,a,2,sun,0,
2019-07-08,MB-1,closed,b,2,sun,1,
2019-07-08,MB-1,closed,c,2,sun,0,
2019-07-08,MB-1,closed,a,1,oats,0,
2019-07-08,MB-1,closed,b,1,oats,0,
2019-07-08,MB-1,closed,c,1,oats,2,
2019-07-08,MB-1,closed,a,2,oats,0,
2019-07-08,MB-1,closed,b,2,oats,2,
2019-07-08,MB-1,closed,c,2,oats,0,
2019-07-08,MB-2,open,a,1,sun,0,RAINED  second census. 
2019-07-08,MB-2,open,b,1,sun,0,mountain and common hemlock species. steep inclined site layout.
2019-07-08,MB-2,open,c,1,sun,1,
2019-07-08,MB-2,open,a,2,sun,1,
2019-07-08,MB-2,open,b,2,sun,0,
2019-07-08,MB-2,open,c,2,sun,0,
2019-07-08,MB-2,open,a,1,oats,0,
2019-07-08,MB-2,open,b,1,oats,0,
2019-07-08,MB-2,open,c,1,oats,2,
2019-07-08,MB-2,open,a,2,oats,4,
2019-07-08,MB-2,open,b,2,oats,0,
2019-07-08,MB-2,open,c,2,oats,0,
2019-07-08,MB-2,closed,a,1,sun,0,
2019-07-08,MB-2,closed,b,1,sun,0,
2019-07-08,MB-2,closed,c,1,sun,0,
2019-07-08,MB-2,closed,a,2,sun,0,
2019-07-08,MB-2,closed,b,2,sun,0,
2019-07-08,MB-2,closed,c,2,sun,1,
2019-07-08,MB-2,closed,a,1,oats,1,
2019-07-08,MB-2,closed,b,1,oats,0,
2019-07-08,MB-2,closed,c,1,oats,2,
2019-07-08,MB-2,closed,a,2,oats,0,
2019-07-08,MB-2,closed,b,2,oats,0,
2019-07-08,MB-2,closed,c,2,oats,3,
2019-07-08,MB-3,open,a,1,sun,0,located directly beside a river
2019-07-08,MB-3,open,b,1,sun,0,lots of foliage. Moist site. Plenty vaccinium bushes. 
2019-07-08,MB-3,open,c,1,sun,0,
2019-07-08,MB-3,open,a,2,sun,0,
2019-07-08,MB-3,open,b,2,sun,5,
2019-07-08,MB-3,open,c,2,sun,0,
2019-07-08,MB-3,open,a,1,oats,0,
2019-07-08,MB-3,open,b,1,oats,0,
2019-07-08,MB-3,open,c,1,oats,2,
2019-07-08,MB-3,open,a,2,oats,0,
2019-07-08,MB-3,open,b,2,oats,2,
2019-07-08,MB-3,open,c,2,oats,5,
2019-07-08,MB-3,closed,a,1,sun,0,
2019-07-08,MB-3,closed,b,1,sun,1,
2019-07-08,MB-3,closed,c,1,sun,0,
2019-07-08,MB-3,closed,a,2,sun,0,
2019-07-08,MB-3,closed,b,2,sun,0,
2019-07-08,MB-3,closed,c,2,sun,0,
2019-07-08,MB-3,closed,a,1,oats,0,
2019-07-08,MB-3,closed,b,1,oats,0,
2019-07-08,MB-3,closed,c,1,oats,0,
2019-07-08,MB-3,closed,a,2,oats,0,
2019-07-08,MB-3,closed,b,2,oats,1,
2019-07-08,MB-3,closed,c,2,oats,5,
2019-07-08,MB-4,open,a,1,sun,0,lots of foliage…. RAINED A LOT
2019-07-08,MB-4,open,b,1,sun,0,"mountain hemlocks, doug firs "
2019-07-08,MB-4,open,c,1,sun,0,
2019-07-08,MB-4,open,a,2,sun,3,
2019-07-08,MB-4,open,b,2,sun,2,
2019-07-08,MB-4,open,c,2,sun,0,
2019-07-08,MB-4,open,a,1,oats,2,
2019-07-08,MB-4,open,b,1,oats,0,
2019-07-08,MB-4,open,c,1,oats,1,
2019-07-08,MB-4,open,a,2,oats,6,
2019-07-08,MB-4,open,b,2,oats,8,
2019-07-08,MB-4,open,c,2,oats,0,
2019-07-08,MB-4,closed,a,1,sun,1,
2019-07-08,MB-4,closed,b,1,sun,4,
2019-07-08,MB-4,closed,c,1,sun,1,
2019-07-08,MB-4,closed,a,2,sun,0,
2019-07-08,MB-4,closed,b,2,sun,5,
2019-07-08,MB-4,closed,c,2,sun,0,
2019-07-08,MB-4,closed,a,1,oats,4,
2019-07-08,MB-4,closed,b,1,oats,7,
2019-07-08,MB-4,closed,c,1,oats,4,
2019-07-08,MB-4,closed,a,2,oats,4,
2019-07-08,MB-4,closed,b,2,oats,8,
2019-07-08,MB-4,closed,c,2,oats,0,
2019-07-08,MB-5,open,a,1,sun,0,LOTS OF RAIN
2019-07-08,MB-5,open,b,1,sun,0,"salmon berry, VACPAR VACDEL, black beetles. Mountain hemlock, silver firs. "
2019-07-08,MB-5,open,c,1,sun,0,
2019-07-08,MB-5,open,a,2,sun,0,
2019-07-08,MB-5,open,b,2,sun,0,
2019-07-08,MB-5,open,c,2,sun,5,
2019-07-08,MB-5,open,a,1,oats,0,
2019-07-08,MB-5,open,b,1,oats,2,
2019-07-08,MB-5,open,c,1,oats,1,
2019-07-08,MB-5,open,a,2,oats,4,
2019-07-08,MB-5,open,b,2,oats,0,
2019-07-08,MB-5,open,c,2,oats,8,
2019-07-08,MB-5,closed,a,1,sun,2,
2019-07-08,MB-5,closed,b,1,sun,2,
2019-07-08,MB-5,closed,c,1,sun,3,
2019-07-08,MB-5,closed,a,2,sun,5,
2019-07-08,MB-5,closed,b,2,sun,3,
2019-07-08,MB-5,closed,c,2,sun,1,
2019-07-08,MB-5,closed,a,1,oats,6,
2019-07-08,MB-5,closed,b,1,oats,5,
2019-07-08,MB-5,closed,c,1,oats,5,
2019-07-08,MB-5,closed,a,2,oats,8,
2019-07-08,MB-5,closed,b,2,oats,3,
2019-07-08,MB-5,closed,c,2,oats,5,
